SNOMED_CODE,SNOMED_TERM,CATEGORY,SUBCATEGORY,GRANULAR,ONS_BRIDGE_CODE,ONS_BRIDGE_LABEL,BK_ETHNICITY_CODE,ETHNICITY_DESC
977591000000103,Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census,Asian,Asian: Indian,Indian,H,Indian,H,ASIAN: Indian or British Indian
2078861000000103,"Asian, Scottish Asian or British Asian: Bangladeshi, Scottish Bangladeshi or British Bangladeshi-Scotland ethnic category 2022 census",Asian,Asian: Bangladeshi,Bangladeshi,K,Bangladeshi,K,ASIAN: Bangladeshi or British Bangladeshi
2078881000000107,"Asian, Scottish Asian or British Asian: other-Scotland ethnic category 2022 census",Asian,Asian: Other Asian,Asian - Other,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
92511000000107,Chinese,Asian,Asian: Chinese,Chinese,R,Chinese,R,OTHER: Chinese
270465005,E Afric Asian/Indo-Carib NMO,Asian,Asian: Other Asian,Asian - Other,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
1745831000006108,Nepalese,Asian,Asian: Other Asian,Nepalese,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
186044009,South East Asian,Asian,Asian: Other Asian,South East Asian,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
110781000000102,Sinhalese,Asian,Asian: Other Asian,Sinhalese,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
315280000,Other Asian,Asian,Asian: Other Asian,Asian - Other,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
315281001,Other Asian ethnic group,Asian,Asian: Other Asian,Asian - Other,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
186002003,Pakistani,Asian,Asian: Pakistani,Pakistani,J,Pakistani,J,ASIAN: Pakistani or British Pakistani
33897005,Chinese,Asian,Asian: Chinese,Chinese,R,Chinese,R,OTHER: Chinese
312859007,Vietnamese,Asian,Asian: Other Asian,Vietnamese,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
38361009,RACE: Korean,Asian,Asian: Other Asian,Korean,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
86461000000107,Sri Lankan,Asian,Asian: Other Asian,Sri Lankan,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
186003008,Bangladeshi,Asian,Asian: Bangladeshi,Bangladeshi,K,Bangladeshi,K,ASIAN: Bangladeshi or British Bangladeshi
414481008,Indian,Asian,Asian: Indian,Indian,H,Indian,H,ASIAN: Indian or British Indian
414551003,RACE: Japanese,Asian,Asian: Other Asian,Japanese,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
414978006,RACE: Oriental,Asian,Asian: Other Asian,Asian - Other,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
186012005,Indian sub-continent NMO,Asian,Asian: Other Asian,Indian,H,Indian,H,ASIAN: Indian or British Indian
92461000000105,Pakistani/Brit Pakists,Asian,Asian: Pakistani,Pakistani,J,Pakistani,J,ASIAN: Pakistani or British Pakistani
718131000000106,Nepali,Asian,Asian: Other Asian,Nepali,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
92471000000103,Bangladeshi/Brit Bangl,Asian,Asian: Bangladeshi,Bangladeshi,K,Bangladeshi,K,ASIAN: Bangladeshi or British Bangladeshi
977771000000105,Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census,Asian,Asian: Other Asian,Asian - Other,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
92481000000101,Other Asian,Asian,Asian: Other Asian,Asian - Other,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
110751000000108,Indian/British Indians,Asian,Asian: Indian,Indian,H,Indian,H,ASIAN: Indian or British Indian
275597009,Indo-Caribbean (NMO),Asian,Asian: Other Asian,Indo-Caribbean,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
275596000,East African Asian (NMO),Asian,Asian: Other Asian,East African Asian,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
978211000000108,Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census,Asian,Asian: Other Asian,Asian - Other,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
978191000000109,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,Asian,Asian: Chinese,Chinese,R,Chinese,R,OTHER: Chinese
978171000000105,"Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census",Asian,Asian: Bangladeshi,Bangladeshi,K,Bangladeshi,K,ASIAN: Bangladeshi or British Bangladeshi
978111000000100,"Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census",Asian,Asian: Indian,Indian,H,Indian,H,ASIAN: Indian or British Indian
978071000000106,"Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census",Asian,Asian: Pakistani,Pakistani,J,Pakistani,J,ASIAN: Pakistani or British Pakistani
186013000,Other Asian NMO,Asian,Asian: Other Asian,Asian - Other,L,Any other Asian background,L,"ASIAN: Other Asian, British Asian, Asian Unspecif"
976791000000107,Asian or Asian British: Indian - England and Wales ethnic category 2011 census,Asian,Asian: Indian,Indian,H,Indian,H,ASIAN: Indian or British Indian
976811000000108,Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census,Asian,Asian: Pakistani,Pakistani,J,Pakistani,J,ASIAN: Pakistani or British Pakistani
976831000000100,Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census,Asian,Asian: Bangladeshi,Bangladeshi,K,Bangladeshi,K,ASIAN: Bangladeshi or British Bangladeshi
976851000000107,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,Asian,Asian: Chinese,Chinese,R,Chinese,R,OTHER: Chinese
2078841000000104,"Asian, Scottish Asian or British Asian: Pakistani, Scottish Pakistani or British Pakistani-Scotland ethnic category 2022 census",Asian,Asian: Pakistani,Pakistani,J,Pakistani,J,ASIAN: Pakistani or British Pakistani
